Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-02 00:00:00-05:00,88.18217018001926,88.49293777736506,86.1669011540353,86.43058013916016,47867800,0.0,0.0
2018-02-05 00:00:00-05:00,85.28169847326353,87.80549467573556,82.87091064453125,82.87091064453125,51031500,0.0,0.0
2018-02-06 00:00:00-05:00,81.82560436276842,86.14807934595224,80.28119255294924,86.00682067871094,67998600,0.0,0.0
2018-02-07 00:00:00-05:00,85.2157684932676,86.42116226300158,84.0009555640069,84.3870620727539,41107600,0.0,0.0
2018-02-08 00:00:00-05:00,84.48123239115225,84.64132218006435,79.81974708530385,80.05517578125,55628700,0.0,0.0
2018-02-09 00:00:00-05:00,81.27000656572396,83.74671440459768,78.94396938930001,83.0404281616211,63499100,0.0,0.0
2018-02-12 00:00:00-05:00,83.56776751635938,84.54715174914934,82.80498084411609,83.9350357055664,35720300,0.0,0.0
2018-02-13 00:00:00-05:00,83.74671622252066,84.7543509969851,82.68258084650049,84.5942611694336,26407700,0.0,0.0
2018-02-14 00:00:00-05:00,83.74271675405949,86.08913608238498,83.64810435216087,85.91883087158203,34960900,0.42,0.0
2018-02-15 00:00:00-05:00,86.29728441318689,87.72595544841096,85.73906621030616,87.669189453125,27823900,0.0,0.0
2018-02-16 00:00:00-05:00,87.47051352476853,88.46396197443424,86.85552918955776,87.04475402832031,30596900,0.0,0.0
2018-02-20 00:00:00-05:00,86.55276515514602,88.04765870635423,86.10807884354385,87.7259750366211,30911700,0.0,0.0
2018-02-21 00:00:00-05:00,87.97197716463367,88.33150726243309,86.56222534179688,86.56222534179688,26922500,0.0,0.0
2018-02-22 00:00:00-05:00,87.09205542565844,87.7354299210893,86.43921752366506,86.78929138183594,24392800,0.0,0.0
2018-02-23 00:00:00-05:00,88.55857439829826,89.00326070972417,87.3853645172882,88.9937973022461,26329200,0.0,0.0
2018-02-26 00:00:00-05:00,89.31548230264343,90.30892346840693,89.17356007368738,90.2805404663086,30199800,0.0,0.0
2018-02-27 00:00:00-05:00,90.58330549802776,90.67791791219906,89.12625122070312,89.12625122070312,25869100,0.0,0.0
